89,aspirador de pó,3,299.99,01/04/2023
90,liquidificador,5,89.90,02/04/2023
91,torradeira,4,59.99,03/04/2023
92,cafeteira,6,129.00,04/04/2023
93,ferro de passar,2,79.90,05/04/2023
94,ventilador de teto,3,199.00,06/04/2023
95,ar condicionado portátil,1,999.00,07/04/2023
96,umidificador de ar,4,149.90,08/04/2023
97,purificador de água,2,399.00,09/04/2023
98,máquina de lavar roupa,1,1299.00,10/04/2023
99,secadora de roupas,1,1499.00,11/04/2023
100,fogão 4 bocas,2,599.00,12/04/2023
101,geladeira frost free,1,2199.00,13/04/2023
102,microondas,3,349.90,14/04/2023
103,fritadeira elétrica,5,199.90,15/04/2023
104,panela de pressão elétrica,2,299.00,16/04/2023
105,batedeira,4,129.90,17/04/2023
106,processador de alimentos,3,179.90,18/04/2023
107,chaleira elétrica,6,69.90,19/04/2023
108,grill elétrico,2,149.00,20/04/2023
109,pipoqueira elétrica,4,59.90,21/04/2023
110,forno elétrico,1,399.00,22/04/2023
111,multiprocessador,2,249.90,23/04/2023
112,espremedor de frutas,5,39.90,24/04/2023
113,sanduicheira,7,79.90,25/04/2023
114,mixer,6,59.90,26/04/2023
115,balança de cozinha,8,29.90,27/04/2023
116,jogo de talheres,3,129.00,28/04/2023
117,conjunto de panelas,2,299.00,29/04/2023
118,jogo de pratos,4,89.90,30/04/2023
119,conjunto de copos,5,49.90,01/05/2023
120,garrafa térmica,6,39.90,02/05/2023
121,pote hermético,10,19.90,03/05/2023
122,tábua de corte,4,29.90,04/05/2023
123,escorredor de louça,3,59.90,05/05/2023
124,lixeira de cozinha,2,79.90,06/05/2023
125,faqueiro,1,199.00,07/05/2023
126,jogo de travessas,3,69.90,08/05/2023
127,escumadeira,5,9.90,09/05/2023
128,concha,5,8.90,10/05/2023
129,pegador de salada,4,12.90,11/05/2023
130,abridor de latas,6,14.90,12/05/2023
131,saca-rolhas,3,24.90,13/05/2023
132,ralador,4,19.90,14/05/2023
133,descascador de legumes,5,9.90,15/05/2023
134,colher de pau,7,7.90,16/05/2023
135,escova para louça,8,5.90,17/05/2023
136,pano de prato,10,4.90,18/05/2023
137,avental de cozinha,3,29.90,19/05/2023
138,luva térmica,4,19.90,20/05/2023
139,porta-guardanapos,5,14.90,21/05/2023
140,saleiro,6,9.90,22/05/2023
141,açucareiro,6,12.90,23/05/2023
142,porta-temperos,2,39.90,24/05/2023
143,escorredor de arroz,3,24.90,25/05/2023
144,peneira,4,14.90,26/05/2023
145,funil,5,9.90,27/05/2023
146,espremedor de alho,6,12.90,28/05/2023
147,cortador de pizza,4,19.90,29/05/2023
148,afiador de facas,3,29.90,30/05/2023
149,tesoura de cozinha,5,24.90,31/05/2023
150,escorredor de macarrão,2,34.90,01/06/2023
151,jarra medidora,4,19.90,02/06/2023
152,forma de bolo,3,24.90,03/06/2023
153,assadeira,5,29.90,04/06/2023
154,rolo de massa,2,19.90,05/06/2023
155,pincel de silicone,4,9.90,06/06/2023
156,espátula,5,14.90,07/06/2023
157,batedor de ovos,6,12.90,08/06/2023
158,saco de confeitar,3,14.90,09/06/2023
159,cortador de biscoito,5,9.90,10/06/2023
160,forma de gelo,7,7.90,11/06/2023
161,porta-detergente,4,19.90,12/06/2023
162,escorredor de talheres,3,24.90,13/06/2023
163,suporte para papel toalha,2,29.90,14/06/2023
164,lixeira para pia,4,14.90,15/06/2023
165,escova para garrafa,5,9.90,16/06/2023
166,pote para microondas,6,14.90,17/06/2023
167,tampa para microondas,8,9.90,18/06/2023
168,cesto organizador,3,29.90,19/06/2023
169,organizador de gavetas,4,24.90,20/06/2023
170,porta-talheres,2,34.90,21/06/2023
171,suporte para panelas,3,39.90,22/06/2023
172,escorredor de pratos,1,49.90,23/06/2023
173,porta-sabão em pó,2,24.90,24/06/2023
174,dispenser para sabonete líquido,4,19.90,25/06/2023
175,escova sanitária,5,14.90,26/06/2023
176,tapete antiderrapante,6,24.90,27/06/2023
177,cortina para box,2,39.90,28/06/2023
178,porta-escova de dentes,4,14.90,29/06/2023
179,lixeira para banheiro,3,29.90,30/06/2023
180,toalha de rosto,8,9.90,01/07/2023
181,toalha de banho,4,29.90,02/07/2023
182,roupão de banho,2,79.90,03/07/2023
183,cesto para roupas,3,39.90,04/07/2023
184,cabide,10,2.90,05/07/2023
185,organizador de guarda-roupa,2,49.90,06/07/2023
186,sapateira,1,89.90,07/07/2023
187,espelho de parede,3,59.90,08/07/2023
188,relógio de parede,4,39.90,09/07/2023
189,quadro decorativo,2,49.90,10/07/2023
190,vaso de plantas,5,29.90,11/07/2023
191,almofada decorativa,6,24.90,12/07/2023
192,manta para sofá,3,59.90,13/07/2023
193,cortina blackout,2,89.90,14/07/2023
194,persiana,1,129.90,15/07/2023
195,tapete,2,79.90,16/07/2023
196,luminária de mesa,3,59.90,17/07/2023
197,abajur,4,49.90,18/07/2023
198,ventilador de coluna,2,129.90,19/07/2023
199,umidificador de ar,3,149.90,20/07/2023
200,purificador de ar,1,299.90,21/07/2023
201,aquecedor portátil,2,179.90,22/07/2023
202,desumidificador,1,399.90,23/07/2023
203,climatizador de ar,1,499.90,24/07/2023
204,aspirador de pó portátil,3,149.90,25/07/2023
205,vassoura,5,19.90,26/07/2023
206,rodo,4,14.90,27/07/2023
207,pá de lixo,6,9.90,28/07/2023
208,balde,4,12.90,29/07/2023
209,pano de chão,10,4.90,30/07/2023
210,esponja de limpeza,15,1.90,31/07/2023
211,detergente,8,2.90,01/08/2023
212,sabão em pó,3,14.90,02/08/2023
213,amaciante,4,12.90,03/08/2023
214,alvejante,5,8.90,04/08/2023
215,desinfetante,6,7.90,05/08/2023
216,limpa-vidros,4,9.90,06/08/2023
217,lustra-móveis,3,12.90,07/08/2023
218,saponáceo,5,5.90,08/08/2023
219,limpador multiuso,7,6.90,09/08/2023
220,cera líquida,2,14.90,10/08/2023
221,luva de borracha,6,7.90,11/08/2023
222,saco de lixo,10,9.90,12/08/2023
223,escova para vaso sanitário,3,12.90,13/08/2023
224,desentupidor de pia,2,14.90,14/08/2023
225,desentupidor de vaso sanitário,1,19.90,15/08/2023
226,inseticida,4,12.90,16/08/2023
227,repelente,5,14.90,17/08/2023
228,ratoeira,3,9.90,18/08/2023
229,lâmpada LED,10,7.90,19/08/2023
230,extensão elétrica,4,19.90,20/08/2023
231,adaptador de tomada,6,5.90,21/08/2023
232,pilha AA,12,2.90,22/08/2023
233,pilha AAA,12,2.90,23/08/2023
234,bateria 9V,3,12.90,24/08/2023
235,carregador de pilhas,2,39.90,25/08/2023
236,fita isolante,5,4.90,26/08/2023
237,chave de fenda,3,9.90,27/08/2023
238,chave phillips,3,9.90,28/08/2023
239,alicate,2,19.90,29/08/2023
240,martelo,1,24.90,30/08/2023
241,trena,2,14.90,31/08/2023
242,nível,1,29.90,01/09/2023
243,furadeira,1,199.90,02/09/2023
244,parafusadeira,1,149.90,03/09/2023
245,jogo de brocas,2,39.90,04/09/2023
246,serra tico-tico,1,179.90,05/09/2023
247,lixadeira orbital,1,129.90,06/09/2023
248,compressor de ar,1,299.90,07/09/2023
249,escada doméstica,1,89.90,08/09/2023
250,caixa de ferramentas,2,59.90,09/09/2023
251,kit de jardinagem,1,79.90,10/09/2023
252,regador,3,19.90,11/09/2023
253,mangueira de jardim,2,39.90,12/09/2023
254,tesoura de poda,2,29.90,13/09/2023
255,luva de jardinagem,4,14.90,14/09/2023
256,adubo,5,12.90,15/09/2023
257,terra vegetal,3,9.90,16/09/2023
258,vaso de planta,4,24.90,17/09/2023
259,semente de flores,10,3.90,18/09/2023
260,semente de hortaliças,10,3.90,19/09/2023
261,inseticida para plantas,3,14.90,20/09/2023
262,pulverizador,2,19.90,21/09/2023
263,cortador de grama,1,399.90,22/09/2023
264,aparador de grama,1,199.90,23/09/2023
265,churrasqueira,1,199.90,24/09/2023
266,kit para churrasco,2,79.90,25/09/2023
267,carvão,3,14.90,26/09/2023
268,acendedor de churrasqueira,4,9.90,27/09/2023
269,grelha para churrasco,2,39.90,28/09/2023
270,espeto para churrasco,6,19.90,29/09/2023
271,cadeira de praia,4,49.90,30/09/2023
272,guarda-sol,2,79.90,01/10/2023
273,cooler,1,129.90,02/10/2023
274,caixa térmica,1,89.90,03/10/2023
275,barraca de camping,1,299.90,04/10/2023
276,saco de dormir,2,99.90,05/10/2023
277,colchão inflável,2,79.90,06/10/2023
278,lanterna,3,29.90,07/10/2023
279,canivete,2,39.90,08/10/2023
280,bússola,1,24.90,09/10/2023
281,mochila,2,89.90,10/10/2023
282,garrafa de água,5,19.90,11/10/2023
283,capa de chuva,4,24.90,12/10/2023
284,guarda-chuva,3,29.90,13/10/2023
